NVR,2800.0,10.650690942067193,12.41873435047772,9.12903243186655,-0.9955647377319723,-0.9967396312743334
BKNG,2080.39,10.992005721029786,12.887161848601476,9.374932281835939,-0.9938054105967624,-0.9954936659559813
AMZN,1447.34,10.209025810799496,11.897280095790393,8.76213270358687,-0.9917798996118463,-0.9939460439816582
GOOGL,1037.14,11.205702433536553,13.178183133150581,9.531614754378403,-0.9872937278157716,-0.9908097125225347
CABO,687.11,10.87968933938739,12.740697420288866,9.285920629577658,-0.9814575578578556,-0.9864855399723804
AZO,648.69,10.653212190304345,12.439853066765549,9.119064531491103,-0.9808231157151096,-0.9859423383565477
BH,408.41,9.712860423827193,11.243048180059697,8.390554482124058,-0.9724711731346938,-0.9794555606323938
SHW,392.12,10.229104521466793,11.900856643812366,8.787746424409203,-0.969649962654768,-0.9775891399969162
NEU,401.68,10.923642518253962,12.819329148716754,9.30863799271229,-0.9680857171163195,-0.9768257369231421
MELI,356.39,10.537310400342623,12.357213335442655,8.992507139828398,-0.965326711368325,-0.9747677905108774
NFLX,295.35,9.272705719014265,10.720537075921676,8.022070541657051,-0.9637022614663224,-0.9728387657299575
CHTR,311.22,9.767010905127405,11.311083132527536,8.429958147741102,-0.963655667590362,-0.9729131863384709
REGN,344.36,11.284119588966808,13.250927607495726,9.606456959549012,-0.9615201312362187,-0.972103447091564
CMG,323.11,10.81307302943146,12.642457725384487,9.245833478338048,-0.9608725891325416,-0.9713848736395096
TSLA,266.13,9.137016604827433,10.552112665007977,7.915476851537459,-0.9603497814413708,-0.9702571042289954
SODA,318.1,11.009417243644783,12.875284832565521,9.408511062930042,-0.9595244110890742,-0.9704227882334799
GWW,282.27,10.599937586227917,12.371403776037893,9.078554551536277,-0.956171737074298,-0.9678373381813998
ORLY,247.38,9.911098593737723,11.487369784570268,8.545498409862297,-0.9535638702216417,-0.9654559850842336
BIIB,273.82,10.997369375593951,12.896890401828681,9.376682865493596,-0.9529001153976018,-0.9657560336516924
MSG,245.8,10.121609994034536,11.831772637644482,8.667683701405716,-0.9518642284880208,-0.964736844176543
CHDN,244.05,10.26802561074339,11.95761949114491,8.813490207288991,-0.9510034030274742,-0.9638865387941447
ANET,255.3,10.900584353840841,12.78759067300236,9.292445605811116,-0.9499115132275662,-0.9636018581832702
ULTI,243.7,10.4871074802731,12.289989760830103,8.95566678895583,-0.9495691844036516,-0.9632512647149946
DPZ,233.56,10.35689773211435,12.099654808665147,8.8667948766859,-0.9481946617200498,-0.9620363295226669
BIO,250.08,11.244378256544735,13.239156298550016,9.551612406205093,-0.9470603155048384,-0.9618057725279707
MHK,232.22,10.554409283302839,12.314516787168676,9.043153986632618,-0.9469704728827462,-0.96105781592183
MTN,221.7,10.192614186457769,11.864710407186278,8.754159782125047,-0.9464830383076848,-0.960513487676477
ILMN,236.42,11.001433906874729,12.941176009577136,9.355109034054532,-0.9452619236546098,-0.9604301284406795
AVGO,235.65,11.027885270847552,12.968233542381334,9.379913808466728,-0.944968242977376,-0.9601955705136146
IPGP,233.38,11.356216323608226,13.37549647362538,9.642016300928704,-0.942687906103242,-0.9586853359288341
DJCO,228.49,11.124272095269696,13.167377328711709,9.414612786782266,-0.942372194281099,-0.9587963902718619
TYL,210.96,10.555121807666149,12.357283461905364,9.01799160781735,-0.9414235709996902,-0.9572525995078813
ADBE,216.08,10.91767769913727,12.840931503230978,9.287160410664802,-0.9405732529469133,-0.9570198055781896
HD,178.24,9.366624741723207,10.837166720029872,8.096930269853797,-0.9391990197484859,-0.9545728777499226
ULTA,204.27,10.632763927196406,12.422435814148574,9.098753615017412,-0.9391861956520852,-0.9554572202721036
LRCX,203.16,10.675505630094559,12.482095197378845,9.128733283778454,-0.9385602717199308,-0.9550662862582278
WYNN,182.36,9.924780872883046,11.553505982354716,8.525561648753206,-0.9366445164380637,-0.9532487297172998
FDS,199.42,10.789415854797298,12.64067449035895,9.208071055042842,-0.9366128046817824,-0.9538257393689558
STMP,201.05,11.01175426091907,12.908796532197204,9.391177532437835,-0.9357931035454006,-0.9532893432855616
ASML,198.56,10.973132241035678,12.89975755851415,9.337632315282393,-0.9350334530695299,-0.9529732457932998
PANW,181.52,10.355703896966572,12.135034491972359,8.846545854943251,-0.9331476724770144,-0.9512640708740455
COST,188.43,10.709532246980494,12.610560694878776,9.106764587839509,-0.9330756212127645,-0.951670304156241
LEA,186.09,10.740914740159491,12.55425864080924,9.187684252037295,-0.9325366293685354,-0.9506277379115627
BABA,183.54,10.598165818645423,12.46473248969835,9.024049752817264,-0.9320871064089662,-0.9508333346800847
WSO,180.97,10.569446185687427,12.349112001241789,9.045596811147323,-0.9317615516315313,-0.9500160423763755
INTU,173.35,10.666453218587634,12.515545330932099,9.094953367795062,-0.9278018729106888,-0.9475341599781075
CVCO,173.75,10.710228086894398,12.554402354744083,9.139042079611285,-0.9277444468791708,-0.9474011966641077
ALGT,172.55,10.834487629095705,12.75301576442569,9.210667642501093,-0.9260908967578922,-0.9466202976383593
AAPL,167.78,10.69541888973913,12.537694787084796,9.128078786118616,-0.9252730075868113,-0.9455949529972666
NOW,165.45,10.54602942106071,12.402924371812754,8.97840379947762,-0.925035210808022,-0.9457334312512685
SAGE,161.07,10.354117995440808,12.191161490838585,8.814420398807423,-0.9243114081403204,-0.9452758403252783
LGND,165.16,10.649294527393351,12.517445305999772,9.069528970420153,-0.9242101882659254,-0.9450864072994662
BLUE,170.75,11.033236389625054,13.064068096021517,9.338953568119862,-0.9234900843571214,-0.9453062748572776
