AAL,51.96,9.69713,-2.89816,-4.97994,9.61429,85.8424,7.14268,5.64163,6831,7.30684,10.65387,307.0812,,0.6112,573.3826,0.52038,638.4361,8.29503,11.17167,3085,59.68537,2749,6.51298
AA,44.96,7.17631,4.40915,23.59062,10.34157,62.72948,1.79545,1.27186,2266,9.94679,7.85094,-25.586,,1.3032,30.6876,0.8564,31.04134,25.1084,,1159,22.14212,239,4.98627
AAPL,167.78,12.10181,7.55211,26.00749,26.86683,45.91468,9.20675,10.22296,74174,27.95789,15.18266,30.86464,7.86089,1.24201,74.12464,1.20383,87.30447,12.68905,7.93157,66939,38.43279,53125,22.21168
AAXN,39.31,0.39678,0.13159,2.52396,3.78798,6.41998,0.24504,0.24755,21.064,4.58438,1.54743,-6.03774,-1.87184,1.90081,0.73099,1.47964,0.78414,15.31976,24.53977,15.761,60.23537,13.207,3.8415
AAP,118.55,7.8392,5.30551,24.65956,6.08305,126.4843,4.47585,4.47623,819.472,5.55015,7.39744,-34.72977,-3.03904,1.55941,30.57883,0.3616,30.57883,-2.20391,8.60119,520.259,43.57951,331.705,3.53865
ABAC,2.28,0.53173,0.50138,10.79062,3.01135,3.36597,0.37089,0.10805,4.1776,2.79271,7.5642,123.2609,-44.53115,18.94879,0,17.42024,2.38326,-13.40059,3.3071,0.85366,15.54134,0.8629,3.17582
ABB,23.74,1.61453,1.32682,0.46666,10.00816,15.97393,1.17955,1.03136,4982,9.41653,2.72935,-8.55077,-2.60166,1.34818,45.27296,1.0373,50.25305,3.19137,-2.69589,3231,30.1498,2215,6.89846
ABEO,14.35,-0.63834,-0.57149,2.85051,-3325.687,0.0201,-0.65613,-0.65339,-27.095,-3263.919,2.93785,-0.25451,,25.07437,0,,0,-16.01563,-28.25764,-27.319,,-27.319,-3263.919
ABIL,3.28,-4.27655,-6.35442,1.39346,-112.4721,4.01173,-3.27586,-4.40713,-10.771,-42.20378,2.32605,-0.74465,,1.11913,0,1.10067,0,-96.55172,,-10.902,43.98702,-10.834,-109.856
ABIO,0.4994,-1.89817,-1.75613,1.22137,,0,-1.81352,-1.92186,-18.679,,1.35745,24.98637,,6.43711,0,,0,,,-18.537,,-18.537,
ABG,67.5,8.53874,10.14541,8.83101,4.45597,307.8188,7.17073,7.00638,324.9,3.2386,0.22582,-22.3846,21.49345,1.23049,218.8229,0.44991,407.8133,0.26403,6.82235,209.1,16.35406,147,2.27678
ABT,59.92,2.77102,1.48238,-8.37117,6.30157,15.7009,1.17923,1.03834,5054,8.14531,5.51158,-33.86161,47.42121,2.26066,88.0668,1.8566,90.37771,42.30264,7.53242,2231,54.98357,1813,6.6192
ABX,16.05,3.11554,0.60101,8.50387,39.53905,9.25162,0.81347,1.20976,5264.874,32.80392,2.46691,-254.453,,2.68117,68.53328,1.59931,69.16864,-3.92411,-10.26739,3538.685,39.62264,1410.579,14.00764
ACER,19.27,-2.3385,-2.33276,1.94329,,0,-1.89324,-1.94331,-13.94413,,2.08663,-47.15278,,8.12819,0,,0,,,-14.19444,,-14.19444,
ACET,7.6,1.17762,1.64866,-3.57828,4.23619,21.06641,0.36534,0.22923,64.781,2.7198,2.21014,106.8158,-11.25568,2.0007,78.58865,1.38148,82.23629,36.38094,7.51151,13.154,20.65494,8.054,1.08657
ACHV,1.27,-0.76297,-0.67461,0.36072,,0,-1.23963,-1.2875,-6.35,,0.44193,85.28535,,2.93492,0,,0.34268,,,-13.634,,-10.583,
ACIA,38.46,1.98303,1.20213,12.67611,9.62001,9.37081,1.65693,1.67214,49.406,10.4638,7.05519,-83.2458,,5.22326,0,4.49647,0,-39.19482,,40.303,43.57602,69.108,17.94239
ACIW,23.72,1.2142,0.77791,-4.19961,8.26408,8.6806,0.36247,0.34315,186.864,4.25428,0.59532,3.58672,-3.38071,1.31089,87.35883,,89.68502,-4.76614,8.96973,43.572,55.83968,41.035,4.00658
ACLS,24.6,3.67978,1.46762,11.03376,11.65284,12.29712,3.52476,3.45452,52.844,10.67588,4.16272,1796.504,,4.28538,13.4934,2.76503,13.4934,67.81914,15.08315,43.831,36.59554,117.854,28.7056
ACMR,12.3,-0.03917,-0.57789,2.59044,1.91749,2.37919,-0.02065,-0.02672,0.971,-0.89026,1.15221,292.7693,,2.88371,0,2.17839,12.8108,19.07466,,-0.325,47.18402,-0.318,-2.38865
ACN,153.5,7.08661,5.22441,5.75338,12.63481,59.49761,6.05018,5.89836,6167.138,12.55534,5.64488,19.27265,7.22793,1.31139,0.26773,,0.29782,14.90097,4.30593,4905.322,29.90019,3726.008,10.05312
ACRX,2.1,-0.33406,-0.68621,-0.71728,-483.8274,0.17054,-0.37124,-0.43112,-36.938,-653.0206,1.18802,324.8584,,4.64224,,4.57225,,-88.50039,27.27376,-52.209,-33.32083,-17.405,-217.6986
ACST,1.3,-0.97208,-0.80214,0.18467,,0,-1.01374,-1.16898,-12.72285,,0.50225,-78.3419,,2.70002,10.24749,,10.24749,-100,,-16.85966,,-16.73066,
ADBE,216.08,4.65311,5.85507,4.94317,31.19742,15.38612,3.38032,4.01096,2723.539,29.27672,12.47688,78.9735,15.33236,2.11533,21.71401,,21.71401,23.62572,10.64184,2379.511,86.5946,2006.584,26.06357
ADI,91.13,2.34197,0.81524,-19.08775,21.16771,15.30311,2.1925,0.34445,1979.73,16.22094,2.23781,-254.9123,-0.55414,1.76115,71.36658,1.3085,71.84978,54.26132,13.58795,934.03,61.12157,135.198,2.45675
ADM,43.37,3.49301,0.75524,25.84381,2.18485,106.3427,1.98675,1.86312,2437,2.64516,1.44345,-36.62164,,1.58512,36.16557,0.85537,40.91629,-2.61196,,1609,5.76379,1067,1.76563
ADMA,4.6,-1.82147,,0.70512,-178.0282,0.99562,-1.82142,-2.0041,-36.34556,-192.2579,0.98435,-1.05216,,6.69125,106.5408,5.35355,106.5408,260.7133,82.70015,-43.75898,-28.13538,-43.75898,-192.2579
ADNT,59.76,10.3842,0.71505,11.03557,3.32133,174.8026,9.7839,5.44231,968,6.54413,4.17852,-253.2551,26.7691,1.02104,84.25024,0.8302,85.22395,4.42126,-4.09804,931,7.69278,512,3.6327
ADOM,1.18,-0.32296,-0.084,0.03438,-5081.412,0.00627,-0.32918,-0.324,-21.577,-5152.941,0.03593,80.92486,,1.65206,0,1.56851,91.83761,,,-21.9,-12.70588,-21.903,-5153.647
ADSK,125.58,-2.23625,-0.22691,-8.9716,-24.75445,9.37054,-2.45118,-2.7311,-306.6,-27.09812,6.06138,-20.53333,,0.88447,,,,15.66416,-2.31567,-557.3,85.2475,-599.2,-29.13547
ADP,113.48,4.52408,0.99776,2.11023,18.33165,28.6576,3.53705,3.75589,2686.3,20.4454,4.0131,-16.21217,6.61893,1.05635,50.9361,,50.9361,8.30516,3.16188,2330.2,47.68997,1677,13.11191
ADTN,15.55,1.05955,-1.5341,10.10123,5.65857,13.73883,0.7339,0.73599,53.429,6.7007,2.11533,-89.48045,-0.19507,3.86746,5.14148,2.72025,5.14148,-22.17982,1.48911,44.687,45.53306,35.74,5.35912
ADXS,1.69,-2.33887,-1.96749,0.8111,-989.6213,0.25189,-2.30546,-2.37104,-100.6439,-813.2131,1.38056,-16.16956,,2.96293,0,,0,-45.77376,,-101.2496,,-96.84688,-940.6409
AEHR,2.25,-0.14962,-0.29167,0.83135,-11.19677,1.19227,-0.34751,-0.19817,-2.384,-29.78093,0.73074,102.8922,,4.54894,33.71779,3.29091,33.71779,87.92694,4.01578,-3.375,37.7623,-3.376,-13.91763
AEM,54.2,4.16795,-1.01161,23.57405,18.27153,12.41928,1.3852,1.34589,1194.199,15.26712,4.25242,-45.41885,-10.36356,4.3782,27.73102,2.87746,27.79999,13.2297,3.17958,441.0552,52.82975,314.1752,10.87517
AEMD,1.19,-0.59533,-0.38322,0.30059,-7273.413,0.00738,-0.86524,-0.65228,-5.03087,-1863.629,0.3651,46.56805,,16.72168,17.26203,,17.26203,,-22.01893,-6.06698,,-6.04648,-8109.852
AEO,19.93,2.01009,0.74351,6.68329,7.76757,21.10274,1.20064,1.06864,494.54,7.56605,2.33263,53.64569,-4.12611,1.99606,0,1.17538,0,11.98245,1.77566,287.171,36.10819,192.062,5.06019
AEP,68.59,7.74664,-5.52189,37.08576,23.14764,31.305,3.64565,3.8279,5428.4,18.25749,0.76483,-0.11987,8.08402,0.5142,106.1244,0.39896,124.6627,0.53561,0.63413,2816.2,41.18549,1885.9,11.79781
AEY,1.28,0.10637,0.12324,2.62071,-1.11826,4.78243,-0.00962,-0.0606,1.16283,-0.50113,0.04057,-239.9907,,4.20233,4.16698,0.90992,7.87272,1.56203,10.4195,-0.93604,28.97207,-0.62204,-1.272
AEZS,1.89,-1.67105,-2.50171,-0.82554,-2582.841,0.09892,-3.10683,-2.33669,-34.73502,-2739.737,0.9538,-0.16271,,2.31862,,,,-10.40892,-27.99018,-31.60212,,-31.60212,-2338.608
