AGN,172.2,8.54334,14.22162,-89.37493,-23.3474,48.07043,-8.27079,-13.47129,7243.2,-65.15649,5.99469,87.34676,,1.09926,35.85947,0.93619,36.72525,2.77646,21.9304,-8259.3,86.03233,-4501.8,-26.4266,,-2760.79,1.12228,,,,,,901118,-6.31448,-0.10733,57179.69,,,,213.3566,2.84616,24530.4,-4952.7,,-51.49222,12.0495,-238134.8,,3.56484,,,2.418,16039.9,,,,,,1.672474,-27.51107,,4745.4,-3.54922,-3.80807,8.78786
AGM,92.7,7.084621,14.77032,69.97474,30.91097,40.1641,6.62348,7.10042,133.987,32.6281,46.31313,21.46088,11.05688,,1286.956,,2346.492,31.34902,8.63919,130.262,40.96655,76.609,20.68029,129.868,71.55349,1.21594,0.003,494.0424,0.238,468.264,6.729611,4925693,15.29789,24.72085,958.6902,36.091,36.091,0.5133052,69.97474,15.75401,16994.35,128.938,37.076,30.05161,6.01418,1018648,-383.997,2.258924,0,493.258,,433.461,1740.794,17487.61,18397.24,,0.832,2.502697,4.86702,117.83,159.405,0.52225,0.5222496,32.83783
CEL,5.63,1.76539,0.9167,0.3782,7.15215,10.45903,0.3052,0.25551,228.1912,3.95247,2.59571,-71.93089,-26.90644,1.50126,209.1489,1.45781,249.2199,-2.71116,-8.20129,35.46587,30.29909,25.84335,2.44473,,30.79207,2.01004,,,,,,314801.3,6.81653,1.88356,559.7737,,,,3.83643,-46.07143,703.8188,42.06417,,3.35501,6.04174,7696.053,,0.52954,,,39.41176,1057.103,,,,,,0,-18.48847,,92.65114,1.53494,2.10197,-3.00202
BOCH,12.85,0.8182,0.79489,7.70726,32.92123,2.95236,0.64298,0.67537,19.315,30.90114,0.99581,19.30235,9.48546,,20.65345,,20.65345,15.83618,2.63949,15.551,,10.833,17.64083,14.272,9.844,0.41187,0.113,,27.023,-40.9,0.6429784,,9.66434,,207.0756,,4.294,0.8167895,7.82831,9.16676,10.132,14.272,3.016721,32.92123,16.28209,,-13.281,4.438319,0,16.247,,47.662,-32.08,26.379,1245.575,-0.584,0.12,1.245136,7.35325,5.347,12.718,0.90716,0.9071626,13.69209
AGI,5.88,0.6539,0.07388,9.03739,11.51454,2.33778,0.12878,0.11658,277.852,4.0899,0.7817,-100,,3.96351,0,2.56646,0,43.05785,27.10412,47.14029,40.81358,35.58501,4.55539,,39.7935,1.49626,,,,,,453110.9,1.15659,2.21101,3039.204,,,,9.03739,-6.31513,-304.3766,36.63549,,6.03463,123.1131,20640.96,,3.89061,,,2.36626,781.1632,,,,,0.11555,0.3401361,185.5958,,24.68628,0.89203,0.97607,19.24233
LIFE,0.921,-1.64043,-1.48675,1.82703,,0,-1.8685,-1.6861,-43.483,,2.48418,36.59949,,6.89584,23.76234,,36.65639,,,-45.469,,-45.469,,-48.207,-48.207,,0.008,,0.361,,-1.868499,,-86.44132,,25.95099,,-10.667,-63.86598,1.82703,-74.2915,-54.123,-48.207,0,,,,11.912,,0,74.1,,0,9.866,30.999,78.47,-1.312,0,0,27.55809,-10.577,-40.601,-63.06161,-71.81168,
NYT,26.05,0.7060621,-0.32392,4.92798,7.06164,10.29772,0.85904,0.49954,243.1287,6.63771,3.11584,38.41804,-16.06336,1.99772,26.21027,,26.21027,1.688635,0.98698,114.532,63.53695,82.158,5.01348,109.161,141.1079,1.71523,40.439,74.2177,4.601,-0.138,0.4470088,446116.9,8.902668,,4260.064,53.373,31.151,4.37318,5.81127,37.56918,-262.556,210.315,10.20095,6.7739,,22365.96,12.741,2.51958,0,513.648,,1690.783,-0.552,706.882,2097.094,-84.753,0.144,0.6142035,20.82819,17.899,-53.184,3.97284,4.82646,5.077951
NOC,308.25,16.56882,6.1385,-27.38237,12.64132,149.735,13.18337,13.76004,3814,11.81646,59.46132,14.14627,11.05072,2.51863,187.3958,2.45082,176.0938,5.0702,0.45971,3147,22.87694,2414,9.18884,3409,2315,0.71874,0,58.94206,-393,-14,13.18337,375300,36.47077,7.75935,53856.8,976,1014,9.641816,44.04118,-1.87556,4891,3049,146.9419,11.97899,50.00632,34485.71,-2,2.05005,0,10369,29.62135,26271,8232,24623,34795,-928,3.118,1.557178,7.07486,-237,1077,8.01887,9.92905,5.24397
AGX,40.65,3.79431,-11.76712,20.41609,10.22606,51.054,4.53695,3.5149,86.85,12.6146,23.48327,-76.37523,22.29383,2.81667,0,,0,-38.66692,26.22494,87.38,15.51353,55.434,6.92429,112.625,71.59305,0.88139,0,34.80963,3.155,,4.513435,517842.8,16.46399,,621.9304,6.838996,6.579,21.94182,23.0642,-11.74625,-365.581,113.209,56.5789,10.87232,,35856.96,98.225,0.787401,0,365.581,,803.692,,195.776,525.878,-4.826,,0.6150061,-30.03113,-60.935,-185.238,9.00628,16.25522,3.67704
ORMP,6.25,-0.7289,-0.76577,1.42164,-442.8979,0.17678,-0.78742,-0.72778,-10.845,-410.4235,1.451,15.78289,,4.47796,0,,0,-1.14566,,-10.108,74.81633,-10.108,-412.5714,,-10.48,0.62012,,,,,,175000,-48.36132,,93.58859,,,,1.42164,-32.15425,-20.903,-10.08,,-412.5714,,-722000,,38.19942,,,,2.45,,,,,,,23.67599,,-10.613,-25.2416,-28.70001,41.04778
ERIE,116.81,4.366148,0.17665,16.06726,16.0539,34.63293,3.95899,4.16924,299.405,18.66059,4.13466,23.24128,5.77701,1.638179,8.89431,,8.89431,43.28502,-21.04009,325.962,4.15994,224.976,12.06553,288.19,207.2134,0.44494,,67.96805,,-0.009,3.956705,351814.7,26.94302,,6110.594,77.56699,77.611,18.63969,16.06726,-6.33544,-141.475,315.877,32.32277,17.48144,642.4765,42448.3,-8.048,3.27713,0,228.784,,1864.618,49.951,874.235,1573.476,-28.927,2.7368,2.876466,2.89897,-40.23,9.511,14.68746,20.3447,15.01333
AGS,28.31,0.66119,-1.61095,-10.11083,0.40037,6.82488,-1.24874,-1.49174,92.967,-22.17216,0.73328,18.39976,,2.90581,337.1875,2.0764,342.0043,35.75585,29.34092,-58.816,75.32145,-50.358,-21.98684,8.408001,-44.01045,,176.341,59.07205,0.025,-116.966,-1.509647,408994.7,-66.53059,0.39782,979.0784,23.197,-11.602,-8.481849,4.15944,,475.099,-33.478,6.013932,-25.67969,,-89925,0.021,4.352475,0,25.821,2.77632,229.037,85.884,535.892,702.037,-57.475,,0,30.991,-32.816,-54.062,-7.63636,-8.03271,31.36998
AGR,53.67,2.85089,-2.92515,37.90848,6.42504,19.59784,1.17918,0.18589,1867,2.06272,0.12941,2.10664,-20.70838,0.72938,34.01226,0.66311,39.5821,6.08646,8.01767,91,76.1285,58,0.87315,443,334.8529,,-2,36.04422,-4,-134,,923896.5,0.38145,3.42415,16473.07,611,382,0.189069,49.08335,3.66638,5965,765,,1.49918,,8066.971,76,2.71385,631,40,13.77273,6070,1175,9534,31483,-2416,0.6912,3.219676,-91.23652,597,-906,0.16858,0.18462,-0.58958
SSLJ,3.72,-0.52966,-0.60225,0.00257,-144.2003,0.38866,-0.59306,-0.59306,-22.06462,-145.2464,0.02518,-95.03147,,0.84833,9718.323,0.5912,9718.323,97.86635,,-23.70945,8.65832,-23.72231,-145.3108,,-23.72231,,,,,,,23589.02,,,169.4,,,,0.00257,,8.97442,-23.70945,,-145.2464,,-34277.38,,10.37761,,,,16.3236,,,,,,,-98.03653,,-25.29434,,,201.1018
AGo,36.33,6.10821,2.41487,59.6609,60.31028,12.92668,6.74016,5.60316,995,55.61167,1.00256,-32.60254,62.11833,,18.88267,,18.88267,-43.84328,12.91137,836,,670,43.37427,1088,824.3219,1.32316,-111,,-509,-19,6.459526,4990323,9.98435,10.25773,4049.509,,241,5.534565,59.6609,4.79374,1167,1034,14.57073,54.04008,14.01214,2164516,126,2.670368,0,,,1547,-30,1281,14019,,0.482,1.761629,-35.39097,27,289,4.67694,4.676936,-22.76585
LASR,32.5,,,1.75498,,,0.51066,,,4.83114,0.82567,,,2.73889,21.61183,1.64226,27.01711,,,,,,,7.964,17.16885,,0.061,195.7833,27.817,-0.029,0.5201515,,,,1139.102,6.153998,4.284,28.57315,1.8631,,-11.173,6.684,4.196704,,,,0,,0,28.622,,,-15.318,52.32,116.196,-5.483,,0,,-4.17,,,,
USNA,114.8,3.567224,5.25546,14.40773,13.16918,44.29262,3.75065,2.84521,159.921,12.85634,11.04598,39.45319,10.99968,2.8973,0,2.35818,0,14.36416,10.05228,145.262,82.82885,70.123,6.469269,132.501,62.53496,0.66446,-2.943,53.30407,-50,,2.530962,598861.9,18.57782,,2780.3,47.65998,43.161,17.60962,16.63878,51.4614,-266.197,134.64,42.38567,13.4013,21.61757,55391.71,0.336,2.56499,0,266.197,2.70122,1083.94,0,240.055,545.945,-13.22,,0,-28.2339,19.518,128.613,13.77719,17.96349,6.16902
SPR,85.53,4.802759,2.59797,13.77988,7.33096,60.5734,3.37293,2.94643,742.7,7.65574,3.84786,-6.39299,67.87887,1.52988,70.75358,0.98372,72.73768,2.47919,5.28504,481.3,10.87972,338.4,4.808541,570.2,367.8999,1.39972,-73.8,48.28608,-496.3,-7.9,3.008482,481164.4,19.02781,13.20151,9663.814,216.3,165.5,9.447434,13.81767,-4.22808,705.9,554.5,59.22816,6.85125,32.07373,25102.74,0.2,1.37563,0,437.9,5.21182,7025,-27.8,3366.4,5370.3,-273.1,,0.5612066,-17.47319,166.6,301.3,6.23276,8.966158,3.22685
