NVCN,0.08,0.5292883123918006,5.616103904897508
OREX,0.2089,0.5572536416638076,1.667561712129285
OHRP,0.2199,0.5163749362511799,1.34822617667658
NLST,0.231,0.5160292095623593,1.2338926820881353
CTRV,0.235,0.51594847771421,1.195525437081745
JAGX,0.195,0.4232555841001605,1.1705414569239
EPIX,0.24,0.5163749362511799,1.1515622343799166
BIOC,0.295,0.5572536416638076,0.8889953954705345
CYTX,0.2864,0.5195741047295359,0.8141553936087149
ANTH,0.3194,0.5163749362511799,0.6167029938984969
VVUS,0.3559,0.5572536416638076,0.5657590381112887
TROV,0.3492,0.515447748008295,0.47608175260107366
IPAS,0.38,0.5244303566943813,0.3800798860378456
EYEG,0.38,0.5207265556261138,0.3703330411213521
IMNP,0.35,0.4757256021591191,0.3592160061689118
ROSG,0.41,0.5572536416638076,0.35915522357026264
BIOL,0.406,0.5263403823562521,0.2964048826508672
NEON,0.4214,0.5348616984636906,0.2692494030937129
APRI,0.4061,0.5117889279913289,0.2602534547927331
AMMA,0.455,0.5231963566530013,0.14988210253406886
ATOS,0.446,0.5021516878610046,0.1259006454282614
SNES,0.51,0.5504423697882529,0.07929876429069194
ABIO,0.4994,0.5021859110148765,0.005578516249252097
PULM,0.509,0.5035643714698638,-0.010679034440346236
CHEK,0.5179,0.5104966025499962,-0.014295032728333323
PRPO,0.5372,0.5235635789982729,-0.025384253540072788
NVIV,0.535,0.5106391567736551,-0.04553428640438295
DFFN,0.546,0.5163749362511799,-0.05425835851432259
BUR,0.52,0.4868824872865872,-0.06368752444887082
WWR,0.5724,0.5163749362511799,-0.09787746986167034
CXRX,0.63,0.5572536416638076,-0.11547041005744818
EGLT,0.6301,0.5572536416638076,-0.11561078929724222
FCSC,0.59,0.512290022565305,-0.13171182616050003
RSYS,0.641,0.5275185739137355,-0.17703810621882143
AYTU,0.637,0.5179934174782173,-0.18682352044235906
IPCI,0.72,0.5572536416638076,-0.2260366088002671
XSPA,0.72,0.5572536416638076,-0.2260366088002671
CRIS,0.6533,0.50544091132559,-0.2263264789138374
RGLS,0.7175,0.5163749362511799,-0.28031367769870397
SBOT,0.82,0.5572536416638076,-0.3204223882148687
SEED,0.7703,0.5163749362511799,-0.32964437718917317
EGO,0.84,0.5572536416638076,-0.33660280754308614
DPW,0.8,0.5234754688933672,-0.34565566388329105
PRKR,0.8,0.5189427964092806,-0.35132150448839927
PERI,0.8,0.512814453241672,-0.3589819334479101
SNMX,0.8898,0.5572536416638076,-0.3737315782604994
AKER,0.8299,0.5196191908394922,-0.37387734565671504
ONTX,0.835,0.5207610527422707,-0.3763340685721309
DARE,0.8379,0.5216707211416085,-0.3774069445738053
OHGI,0.85,0.5239357530771821,-0.38360499637978573
OVAS,0.811,0.4942392654659064,-0.3905804371567122
MBOT,0.675,0.4023419075373257,-0.40393791475951757
IDXG,0.8828,0.5225662920040702,-0.4080581196147822
ONS,0.89,0.51856098453443,-0.4173472083882809
ARGS,0.9,0.5189690018723621,-0.4233677756973755
ANY,1.0034,0.5572536416638076,-0.4446346006938333
ALIM,1.03,0.5572536416638076,-0.45897704692834207
ONVO,1.03,0.5572536416638076,-0.45897704692834207
DMPI,0.94,0.5062628181587782,-0.4614225338736402
CDTI,0.9749,0.5243861482414426,-0.4621128851764872
XGTI,1.04,0.5572536416638076,-0.4641791907078773
TTNP,1.05,0.5572536416638076,-0.4692822460344689
TISA,0.9993,0.5242190590476414,-0.47541373056375313
VTGN,0.9279,0.4834513771836215,-0.4789833202030159
EVLV,1.02,0.5247519675816259,-0.48553728668468055
AIPT,1.1,0.5572536416638076,-0.4934057803056294
RWLK,1.1,0.5572536416638076,-0.4934057803056294
EBIO,1.05,0.5242652498902842,-0.5006997620092531
GNCA,1.05,0.5163749362511799,-0.5082143464274478
CBK,1.07,0.5244815848893603,-0.509830294495925
ICON,1.11,0.5240198289900603,-0.5279100639729187
SGOC,1.1278,0.524171117630708,-0.5352268863001347
ARDM,1.22,0.5572536416638076,-0.5432347199476986
LBIX,1.2205,0.5572536416638076,-0.5434218421435415
SUMR,1.15,0.5206599132668507,-0.5472522493331733
DELT,1.15,0.5190109521681692,-0.548686128549418
SSKN,1.17,0.5234155915774724,-0.5526362465149808
CLRB,1.135,0.5075276383245916,-0.5528390851765713
RAVE,1.23,0.5470012377923716,-0.555283546510267
CGA,1.26,0.5572536416638076,-0.5577352050287241
ADOM,1.18,0.5205491596285621,-0.5588566443825744
KGJI,1.27,0.5572536416638076,-0.5612176049891279
MYOS,1.27,0.5572536416638076,-0.5612176049891279
ALT,1.16,0.5063600377618431,-0.5634827260673766
SPEX,1.2,0.5233035040691489,-0.5639137466090425
MOSY,1.19,0.51757666236026,-0.5650616282686891
EDGE,1.18,0.500140295931097,-0.5761522915838161
MYND,1.19,0.503664102857575,-0.5767528547415336
TWMC,1.25,0.5244758850125351,-0.580419291989972
MICT,1.32,0.5510929929448656,-0.5825053083751018
CASM,1.26,0.5221275504670351,-0.5856130551848928
ACHV,1.27,0.5163749362511799,-0.5934055620069449
AEY,1.28,0.5197440248399198,-0.5939499805938127
CPSH,1.35,0.5478850811246632,-0.5941591991669162
SAUC,1.35,0.5428261864427989,-0.5979065285608898
PRSS,1.3475,0.5415915715567372,-0.5980767558020503
NAUH,1.3058,0.519656040386347,-0.6020400977283298
CHKE,1.3,0.5172711759138212,-0.6020990954509068
VRML,1.36,0.5406993131182811,-0.6024269756483227
ACST,1.3,0.5163749362511799,-0.6027885105760155
FVE,1.3,0.5156084750237467,-0.6033780961355795
