SPR,73.55,7808.849,7.074922,1.4751,16.62955,11.63871,63.71736,3.37293,5.06783,1053.3,7.65574,10.21999,26.46628,67.87887,1.57179,167.5509,1.05805,169.7912,3.74671,5.28504,756.4,15.14934,562,7.908412,570.2,367.8999,1.21969,0,35.22879,-496.3,-99.10004,3.008482,486390.4,39.09837,9.48909,280.4,228.5,9.447434,16.68787,-14.82955,1211.3,554.5,59.22816,10.65157,47.49908,40431.51,2.5,0.6937087,0,683.4,5.25281,7101.3,-27.8,4257.7,5682.1,-273.1,,0.6515542,78.18811,170.2,164.4,10.01132,15.03594,3.84447
SPH,21.56,1323.901,3.25019,0.46088,-12.61834,11.40356,21.77504,1.2974,1.2437,283.666,5.64767,0.0841,-0.20061,-1.92874,0.72028,254.1671,0.45041,254.1671,-2.12475,-4.6254,75.928,55.94211,76.534,5.692745,153.621,80.24051,0.57604,,4238.238,,-7.545,1.219914,410257.3,14.62239,2.03936,0.6319904,-29.997,3.926436,8.04208,-10.20786,1249.974,80.751,21.73772,5.64767,46.52612,23023.5,0.7419996,0.98474,0,5.164,10.54588,1344.413,-19.045,1593.555,2101.199,-32.902,3.305,11.13173,99.42593,52.42601,28.455,3.582648,3.982953,13.17694
SPI,1.179,8.56033,,,-0.43172,-94.6613,2.21326,-1.86519,-2.30593,-31.702,-157.3706,0.05658,83.56237,,0.42342,,0.32205,,3.27084,,-147.023,12.0263,-148.023,-103.987,,-119.6633,,,,,,,,-279.0886,-2.64315,,,,-0.38647,-81.40035,184.459,-65.197,,-103.2915,,,,0.06014,,,3.40637,142.338,,,,,,,33.61307,,,-31.98131,-134.0139,-27.38857
DHXM,2.09,372.2394,0.19524,-0.01109,-3.31323,9.49406,3.26965,-0.04641,-0.18247,93.027,-1.21013,0.34444,-129.0028,,1.708,162.5092,1.05601,196.5568,5.49274,34.89369,-16.09,43.18798,-24.558,-2.95067,,-6.24245,-0.28923,,,,,,870956.4,-7.43917,1.08703,,,,2.45603,-33.19475,602.442,6.77,,-3.65821,,-25699.01,,0.84632,,,1.30522,439.833,,,,,0.0632,5.166667,-1040.082,,-1.492,-0.88731,-1.30622,28.04491
SPN,4.01,619.6658,1.61674,-0.66342,0.6174,-4.08079,13.54097,-1.66308,-1.05023,330.145,-20.15665,0.67747,62.2089,,2.0332,123.7447,1.73848,123.7447,13.24805,-15.27732,-189.931,29.39161,-161.852,-7.75162,-274.096,-254.3392,2.26034,,21.57607,,,-1.723238,326246.4,-15.05061,-0.81404,99.784,-0.3850002,-8.99339,6.70429,-57.99686,1177.324,-363.596,12.25423,-9.09641,,-25289.38,6.297998,0.29678,0,104.69,13.26388,2087.977,0,1697.302,3001.73,-164.933,,0,57.28741,43.941,-102.297,-5.21022,-5.96922,20.59117
SPA,18.41,181.0573,0.5543625,2.73694,4.20836,4.78505,38.81036,-0.72942,-0.41343,32.725,0.84216,0.11897,110.7109,,1.76911,99.33459,0.69123,99.47067,8.0942,7.18988,11.204,22.48427,-4.066,-1.065265,9.512,2.014151,0.89604,,39.68659,0,-11.568,0.09588479,249307,-5.293615,2.82961,5.33,2.236,0.5754017,7.4724,-19.46991,71.93,4.806,38.1292,2.93537,6.7265,-1805.552,,0.47436,0,1.17,3.67056,381.689,9.732,169.656,236.489,-4.236,,0,-426.0594,12.229,26.917,-1.736609,-2.42129,0.45558
SPB,45.51,2431.385,13.6046,6.49985,-39.86517,3.24232,84.95178,12.74473,9.75638,546.5,-4.96837,10.34644,-30.55714,,2.48756,294.1441,2.11472,295.4847,-0.01269,-10.71187,-156.3,37.07683,268.3,11.82491,,471.555,1.59376,,,,,,241992.3,22.93849,1.55377,,,,29.61236,-56.32693,4120,156.4,,-4.96837,10.10131,28615.38,,0.77287,,,3.96019,3145.9,,,,,,3.691496,233.0632,,240.7,1.70652,5.55017,4.49412
SPG,184.06,58976.43,11.99703,1.25541,10.93944,54.22452,18.14355,6.6436,6.90788,4261.138,40.53166,2.2493,8.81463,8.22126,,699.7917,,699.7917,0.38236,5.40886,2648.971,82.23868,2295.041,47.09391,2654.026,2069.596,0.38609,-0.08200073,75.86562,-407.33,-27.24799,6.242428,1704506,65.73441,7.8926,1052.995,707.2729,7.261425,10.93944,8.10646,22982.55,2369.874,17.77955,47.09391,151.5313,802718.5,60.61301,10.12123,0,695.718,,5624.869,1211.355,25212.81,31079.69,-732.1,5.9,4.346409,21.97365,914.384,389.203,8.52965,8.734395,1.5885
XPO,44.5,5649.138,9.055338,2.09353,-12.70292,3.90014,127.3262,1.48866,3.68722,1412.3,1.69497,3.37195,66.57712,,1.27886,95.7862,,97.79505,11.5253,123.0501,507.6,47.45434,493.1,3.280848,602.6,357.64,2.75797,,34.09004,287.6,-426.1,2.444444,179831.6,13.16636,3.14945,388.9,210.5,4.040812,32.95114,-50.99102,3661.4,296.7,120.3505,2.9712,20.11085,4077.895,6.799995,0.33067,0,427.9,,17084,-606.6,7245.8,12676.1,-503.8,,0,206.9895,288.2,280.9,4.477857,6.114457,14.93928
PQG,14.42,1955.217,1.43744,0.19858,-2.61044,5.40939,11.80887,0.20054,0.04237,358.024,-4.11887,0.41924,427.9637,,2.37797,129.5468,1.34811,130.8363,9.02792,,-6.161,23.84183,5.6505,0.4522481,79.638,22.3936,,,42.01466,507.5,-97.331,-0.2859881,503711.3,0.4134392,2.28821,98.37099,45.539,-0.7615169,12.2582,-11.57745,2111.774,22.95,13.18272,-0.38842,73.30047,1834.233,-0.384,1.23265,0,56.684,4.97924,1586.187,-764.832,2410.528,4356.591,-140.482,,0,12.08985,115.865,26.674,0.1635509,0.1744686,10.40043
